scale_id	category	subcategory	scale_name	scale_description	interpretability	top_explain
LINS030110	ASA/Volume	Accessible surface area (ASA)	ASA (folded coil/turn)	Total median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	1	10
LINS030113	ASA/Volume	Accessible surface area (ASA)	ASA (folded coil/turn)	% total accessible surfaces of whole residues in random coil/turn structures (Lins et al., 2003)	1	10
JANJ780101	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Average accessible surface area (Janin et al., 1978)	1	10
JANJ780103	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Percentage of exposed residues (Janin et al., 1978)	1	10
LINS030104	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	Total median accessible surfaces of whole residues from folded proteins, expressed in Å²  (Lins et al., 2003)	1	10
LINS030107	ASA/Volume	Accessible surface area (ASA)	ASA (folded protein)	% total accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
CHOC760102	ASA/Volume	Accessible surface area (ASA)	ASA (folded proteins)	Residue accessible surface area in folded protein (Chothia, 1976)	1	10
LINS030116	ASA/Volume	Accessible surface area (ASA)	ASA (folded β-strand)	Total median accessible surfaces of whole residues in beta-strands, expressed in Å²  (Lins et al., 2003)	1	10
LINS030119	ASA/Volume	Accessible surface area (ASA)	ASA (folded β-strand)	% total accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
LINS030103	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA	Hydrophilic accessible surfaces of whole residues (backbone and lateral chain) calculated with a window 3, expressed in Å²  (Lins et al., 2003)	1	10
LINS030112	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded coil/turn)	Hydrophilic median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	1	10
LINS030115	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded coil/turn)	% Hydrophilic accessible surfaces of whole residues in random coil/turn structures (Lins et al., 2003)	1	10
LINS030106	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded proteins)	Hydrophilic median accessible surfaces of whole residues from folded proteins, expressed in Å²  (Lins et al., 2003)	1	10
LINS030109	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded proteins)	% Hydrophilic accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
LINS030118	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded β-strand)	Hydrophilic median accessible surfaces of whole residues in beta-strands, expressed in Å²  (Lins et al., 2003)	1	10
LINS030121	ASA/Volume	Accessible surface area (ASA)	Hydrophilic ASA (folded β-strand)	% Hydrophilic accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
LINS030114	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded coil/turn)	% Hydrophobic accessible surfaces of whole residues in random coil/turn structures(Lins et al., 2003)	1	10
LINS030108	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded protein)	% Hydrophobic accessible surfaces vs win3 of whole residues from folded proteins (Lins et al., 2003)	1	10
LINS030120	ASA/Volume	Accessible surface area (ASA)	Hydrophobic ASA (folded β-strand)	% Hydrophobic accessible surfaces of whole residues in beta-strands (Lins et al., 2003)	1	10
GUYH850104	ASA/Volume	Accessible surface area (ASA)	Partition energy	Apparent partition energies calculated from Janin index (Guy, 1985)	1	10
GUYH850105	ASA/Volume	Accessible surface area (ASA)	Partition energy	Apparent partition energies calculated from Chothia index (Guy, 1985)	1	10
RACS770103	ASA/Volume	Accessible surface area (ASA)	Side chain orientation	Side chain orientational preference (Rackovsky-Scheraga, 1977)	1	10
VHEG790101	ASA/Volume	Accessible surface area (ASA)	TFE to lipophilic phase	Transfer free energy to lipophilic phase (von Heijne-Blomberg, 1979)	1	10
BIOV880101	ASA/Volume	Buried	Buriability	Information value for accessibility; average fraction 35% (Biou et al., 1988)	1	15
BIOV880102	ASA/Volume	Buried	Buriability	Information value for accessibility; average fraction 23% (Biou et al., 1988)	1	15
WERD780101	ASA/Volume	Buried	Buriability	Propensity to be buried inside (Wertz-Scheraga, 1978)	1	15
ZHOH040103	ASA/Volume	Buried	Buriability	Buriability (Zhou-Zhou, 2004)	1	15
ARGP820103	ASA/Volume	Buried	Buried	Membrane-buried preference parameters (Argos et al., 1982)	1	15
CHOC760103	ASA/Volume	Buried	Buried	Proportion of residues 95% buried (Chothia, 1976)	1	15
CHOC760104	ASA/Volume	Buried	Buried	Proportion of residues 100% buried (Chothia, 1976)	1	15
JANJ780102	ASA/Volume	Buried	Buried	Percentage of buried residues (Janin et al., 1978)	1	15
JANJ790101	ASA/Volume	Buried	Buried	Ratio of buried and accessible molar fractions (Janin, 1979)	1	15
OLSK800101	ASA/Volume	Buried	Buried	Average internal preferences (Olsen, 1980)	1	15
NISK800101	ASA/Volume	Buried	Interactivity	8 A contact number (Nishikawa-Ooi, 1980)	1	15
WARP780101	ASA/Volume	Buried	Interactivity	Average interactions per side chain atom (Warme-Morgan, 1978)	1	15
LINS030111	ASA/Volume	Hydrophobic ASA	Hydrophobic ASA (folded coil/turn)	Hydrophobic median accessible surfaces of whole residues in random coil/turn structures, expressed in Å²  (Lins et al., 2003)	2	15
LINS030105	ASA/Volume	Hydrophobic ASA	Hydrophobic ASA (folded proteins)	Hydrophobic median accessible surfaces of whole residues from folded proteins, expressed in Å²  (Lins et al., 2003)	2	15
LINS030117	ASA/Volume	Hydrophobic ASA	Hydrophobic ASA (folded β-strand)	Hydrophobic median accessible surfaces of whole residues in beta-strands, expressed in Å²  (Lins et al., 2003)	2	15
PONP800107	ASA/Volume	Partial specific volume	Accessibility reduction ratio	Accessibility reduction ratio (Ponnuswamy et al., 1980)	4	30
ZIMJ680102	ASA/Volume	Partial specific volume	Bulkiness	Bulkiness (Zimmerman et al., 1968)	4	30
LINS030102	ASA/Volume	Partial specific volume	Hydrophobic ASA	Hydrophobic accessible surfaces of whole residues (backbone and lateral chain) calculated with a window 3, expressed in Å²  (Lins et al., 2003)	4	30
BASU050101	ASA/Volume	Partial specific volume	Interactivity	Interactivity scale obtained from the contact matrix (Bastolla et al., 2005)	4	30
BASU050103	ASA/Volume	Partial specific volume	Interactivity	Interactivity scale obtained by maximizing the mean of correlation Coefficient over pairs of sequences sharing the TIM barrel fold (Bastolla et al., 2005)	4	30
NISK860101	ASA/Volume	Partial specific volume	Interactivity	14 A contact number (Nishikawa-Ooi, 1986)	4	30
BULH740102	ASA/Volume	Partial specific volume	Partial specific volume	Apparent partial specific volume (Bull-Breese, 1974)	4	30
COHE430101	ASA/Volume	Partial specific volume	Partial specific volume	Partial specific volume (Cohn-Edsall, 1943)	4	30
PLIV810101	ASA/Volume	Partial specific volume	Partition coefficient	Partition Coefficient (Pliska et al., 1981)	4	30
CHOC760101	ASA/Volume	Volume	Accessible surface area (ASA)	Residue accessible surface area in tripeptide (Chothia, 1976)	1	5
LINS030101	ASA/Volume	Volume	Accessible surface area (ASA)	Total accessible surfaces of whole residues (backbone and lateral chain) calculated with a window 3, expressed in Å²  (Lins et al., 2003)	1	5
RADA880106	ASA/Volume	Volume	Accessible surface area (ASA)	Accessible surface area (Radzicka-Wolfenden, 1988)	1	5
ROSG850101	ASA/Volume	Volume	Mean area buried	Mean area buried on transfer (Rose et al., 1985)	1	5
BIGC670101	ASA/Volume	Volume	Volume	Residue volume (Bigelow, 1967)	1	5
CHOC750101	ASA/Volume	Volume	Volume	Average volume of buried residue (Chothia, 1975)	1	5
DAWD720101	ASA/Volume	Volume	Volume	Size (Dawson, 1972)	1	5
FAUJ880103	ASA/Volume	Volume	Volume	Normalized van der Waals volume (Fauchere et al., 1988)	1	5
GOLD730102	ASA/Volume	Volume	Volume	Residue volume (Goldsack-Chalifoux, 1973)	1	5
GRAR740103	ASA/Volume	Volume	Volume	Volume (Grantham, 1974)	1	5
HARY940101	ASA/Volume	Volume	Volume	Mean volumes of residues buried in protein interiors (Harpaz et al., 1994)	1	5
KRIW790103	ASA/Volume	Volume	Volume	Side chain volume (Krigbaum-Komoriya, 1979)	1	5
LEVM760106	ASA/Volume	Volume	Volume	van der Waals parameter R0 (Levitt, 1976)	1	5
PONJ960101	ASA/Volume	Volume	Volume	Average volumes of residues (Pontius et al., 1996)	1	5
TSAJ990101	ASA/Volume	Volume	Volume	Volumes including the crystallographic waters using the ProtOr (Tsai et al., 1999)	1	5
TSAJ990102	ASA/Volume	Volume	Volume	Volumes not including the crystallographic waters using the ProtOr (Tsai et al., 1999)	1	5
FASG760101	ASA/Volume	Volume	Weight	Molecular weight (Fasman, 1976)	1	5
DAYM780101	Composition	AA composition	AA composition	Amino acid composition (Dayhoff et al., 1978a)	1	15
JOND920101	Composition	AA composition	AA composition	Relative frequency of occurrence (Jones et al., 1992)	1	15
JUKT750101	Composition	AA composition	AA composition	Amino acid distribution (Jukes et al., 1975)	1	15
JUNJ780101	Composition	AA composition	AA composition	Sequence frequency (Jungck, 1978)	1	15
NAKH900101	Composition	AA composition	AA composition	AA composition of total proteins (Nakashima et al., 1990)	1	15
NAKH900102	Composition	AA composition	AA composition	SD of AA composition of total proteins (Nakashima et al., 1990)	1	15
CEDJ970102	Composition	AA composition	AA composition (anchored)	Composition of amino acids in anchored proteins [%] (Cedano et al., 1997)	1	15
CEDJ970101	Composition	AA composition	AA composition (EXT)	Composition of amino acids in extracellular proteins [%] (Cedano et al., 1997)	1	15
CEDJ970104	Composition	AA composition	AA composition (INT)	Composition of amino acids in intracellular proteins [%] (Cedano et al., 1997)	1	15
NAKH920107	Composition	AA composition	Membrane proteins (multi-spanning, EXT)	AA composition of EXT of multi-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
NAKH920106	Composition	AA composition	Membrane proteins (multi-spanning, INT)	AA composition of CYT of multi-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
NAKH920103	Composition	AA composition	Membrane proteins (single-spanning, EXT)	AA composition of EXT of single-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
NAKH920104	Composition	AA composition	Membrane proteins (single-spanning, EXT)	AA composition of EXT2 of single-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
NAKH920101	Composition	AA composition	Membrane proteins (single-spanning, INT)	AA composition of CYT of single-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
NAKH920102	Composition	AA composition	Membrane proteins (single-spanning, INT)	AA composition of CYT2 of single-spanning proteins (Nakashima-Nishikawa, 1992)	1	15
CEDJ970105	Composition	AA composition	Nuclear proteins	Composition of amino acids in nuclear proteins [%] (Cedano et al., 1997)	1	15
FUKS010112	Composition	AA composition	Nuclear proteins	Entire chain composition of amino acids in nuclear proteins [%] (Fukuchi-Nishikawa, 2001)	1	15
KUMS000102	Composition	AA composition	Proteins of mesophiles	Distribution of amino acid residues in the 18 non-redundant families of mesophilic proteins (Kumar et al., 2000)	1	15
FUKS010111	Composition	AA composition	Proteins of mesophiles (EXT)	Entire chain composition of amino acids in extracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	1	15
FUKS010110	Composition	AA composition	Proteins of mesophiles (INT)	Entire chain composition of amino acids in intracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	1	15
KUMS000101	Composition	AA composition	Proteins of thermophiles	Distribution of amino acid residues in the 18 non-redundant families of thermophilic proteins (Kumar et al., 2000)	1	15
KUMS000103	Composition	AA composition	Proteins of thermophiles	Distribution of amino acid residues in the alpha-helices in thermophilic proteins (Kumar et al., 2000)	1	15
FUKS010109	Composition	AA composition	Proteins of thermophiles (INT)	Entire chain composition of amino acids in intracellular proteins of thermophiles [%] (Fukuchi-Nishikawa, 2001)	1	15
DIGM050101	Composition	AA composition (surface)	Hydrostatic pressure	Hydrostatic Pressure asymmetry index, PAI (Di Giulio, 2005)	3	25
FUKS010104	Composition	AA composition (surface)	Nuclear proteins	Surface composition of amino acids in nuclear proteins [%] (Fukuchi-Nishikawa, 2001)	3	25
FUKS010103	Composition	AA composition (surface)	Proteins of mesophiles (EXT)	Surface composition of amino acids in extracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	3	25
FUKS010102	Composition	AA composition (surface)	Proteins of mesophiles (INT)	Surface composition of amino acids in intracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	3	25
FUKS010101	Composition	AA composition (surface)	Proteins of thermophiles (INT)	Surface composition of amino acids in intracellular proteins of thermophiles [%] (Fukuchi-Nishikawa, 2001)	3	25
CEDJ970103	Composition	Membrane proteins (MPs)	Membrane proteins	Composition of amino acids in membrane proteins [%] (Cedano et al., 1997)	2	25
NAKH900109	Composition	Membrane proteins (MPs)	Membrane proteins	AA composition of membrane proteins (Nakashima et al., 1990)	2	25
NAKH900111	Composition	Membrane proteins (MPs)	Membrane proteins	Transmembrane regions of non-mt-proteins (Nakashima et al., 1990)	2	25
NAKH900112	Composition	Membrane proteins (MPs)	Membrane proteins	Transmembrane regions of mt-proteins (Nakashima et al., 1990)	2	25
NAKH920108	Composition	Membrane proteins (MPs)	Membrane proteins (multi-spanning)	AA composition of MEM of multi-spanning proteins (Nakashima-Nishikawa, 1992)	2	25
NAKH920105	Composition	Membrane proteins (MPs)	Membrane proteins (single-spanning)	AA composition of MEM of single-spanning proteins (Nakashima-Nishikawa, 1992)	2	25
NAKH900103	Composition	Membrane proteins (MPs)	Mitochondrial proteins	AA composition of mt-proteins (Nakashima et al., 1990)	2	25
NAKH900107	Composition	Membrane proteins (MPs)	Mitochondrial proteins	AA composition of mt-proteins from fungi and plant (Nakashima et al., 1990)	2	25
FUKS010108	Composition	Membrane proteins (MPs)	Nuclear proteins (interior)	Interior composition of amino acids in nuclear proteins [%] (Fukuchi-Nishikawa, 2001)	2	25
KUMS000104	Composition	Membrane proteins (MPs)	Proteins of mesophiles	Distribution of amino acid residues in the alpha-helices in mesophilic proteins (Kumar et al., 2000)	2	25
FUKS010107	Composition	Membrane proteins (MPs)	Proteins of mesophiles (EXT)	Interior composition of amino acids in extracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	2	25
FUKS010106	Composition	Membrane proteins (MPs)	Proteins of mesophiles (INT)	Interior composition of amino acids in intracellular proteins of mesophiles [%] (Fukuchi-Nishikawa, 2001)	2	25
FUKS010105	Composition	Membrane proteins (MPs)	Proteins of thermophiles (INT)	Interior composition of amino acids in intracellular proteins of thermophiles [%] (Fukuchi-Nishikawa, 2001)	2	25
NAKH900104	Composition	Mitochondrial proteins	Mitochondrial proteins	Normalized composition of mt-proteins (Nakashima et al., 1990)	2	60
NAKH900105	Composition	Mitochondrial proteins	Mitochondrial proteins	AA composition of mt-proteins from animal (Nakashima et al., 1990)	2	60
NAKH900106	Composition	Mitochondrial proteins	Mitochondrial proteins	Normalized composition from animal (Nakashima et al., 1990)	2	60
NAKH900108	Composition	Mitochondrial proteins	Mitochondrial proteins	Normalized composition from fungi and plant (Nakashima et al., 1990)	2	60
PUNT030101	Composition	MPs (anchor)	Membrane proteins (anchor)	Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases (Punta-Maritan, 2003)	3	25
PUNT030102	Composition	MPs (anchor)	Membrane proteins (anchor)	Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases (Punta-Maritan, 2003)	3	25
OOBM770103	Composition	MPs (anchor)	Non-bonded Energy per Atom	Long range non-bonded energy per atom (Oobatake-Ooi, 1977)	3	25
GUYH850101	Composition	MPs (anchor)	Partition energy	Partition energy (Guy, 1985)	3	25
GUYH850102	Composition	MPs (anchor)	Partition energy	Apparent partition energies calculated from Wertz-Scheraga index (Guy, 1985)	3	25
MIYS990101	Composition	MPs (anchor)	Partition energy	Relative partition energies derived by the Bethe approximation (Miyazawa-Jernigan, 1999)	3	25
MIYS990102	Composition	MPs (anchor)	Partition energy	Optimized relative partition energies - method A (Miyazawa-Jernigan, 1999)	3	25
MIYS990103	Composition	MPs (anchor)	Partition energy	Optimized relative partition energies - method B (Miyazawa-Jernigan, 1999)	3	25
MIYS990104	Composition	MPs (anchor)	Partition energy	Optimized relative partition energies - method C (Miyazawa-Jernigan, 1999)	3	25
MIYS990105	Composition	MPs (anchor)	Partition energy	Optimized relative partition energies - method D (Miyazawa-Jernigan, 1999)	3	25
BULH740101	Composition	MPs (anchor)	TFE to surface	Transfer free energy to surface (Bull-Breese, 1974)	3	25
NAKH900113	Composition	Unclassified (Composition)	Average Composition	Ratio of average and computed composition (Nakashima et al., 1990)	10	
GRAR740101	Composition	Unclassified (Composition)	Substitution Frequency	Composition (Grantham, 1974)	10	
GEIM800108	Conformation	Coil	Aperiodic indices	Aperiodic indices (Geisow-Roberts, 1980)	1	5
GEIM800111	Conformation	Coil	Aperiodic indices	Aperiodic indices for alpha/beta-proteins (Geisow-Roberts, 1980)	1	5
CHAM830101	Conformation	Coil	Coil	The Chou-Fasman parameter of the coil conformation (Charton-Charton, 1983)	1	5
GEIM800110	Conformation	Coil	Coil	Aperiodic indices for beta-proteins (Geisow-Roberts, 1980)	1	5
NAGK730103	Conformation	Coil	Coil	Normalized frequency of coil (Nagano, 1973)	1	5
QIAN880130	Conformation	Coil	Coil	Weights for coil at the window position of -3 (Qian-Sejnowski, 1988)	1	5
QIAN880131	Conformation	Coil	Coil	Weights for coil at the window position of -2 (Qian-Sejnowski, 1988)	1	5
QIAN880132	Conformation	Coil	Coil	Weights for coil at the window position of -1 (Qian-Sejnowski, 1988)	1	5
QIAN880133	Conformation	Coil	Coil	Weights for coil at the window position of 0 (Qian-Sejnowski, 1988)	1	5
QIAN880134	Conformation	Coil	Coil	Weights for coil at the window position of 1 (Qian-Sejnowski, 1988)	1	5
QIAN880135	Conformation	Coil	Coil	Weights for coil at the window position of 2 (Qian-Sejnowski, 1988)	1	5
ROBB760112	Conformation	Coil	Coil	Information measure for coil (Robson-Suzuki, 1976)	1	5
CHOP780207	Conformation	Coil	Non helical region (C-terminal)	Normalized frequency of C-terminal non helical region (Chou-Fasman, 1978b)	1	5
QIAN880136	Conformation	Coil (C-term)	Coil (C-terminal)	Weights for coil at the window position of 3 (Qian-Sejnowski, 1988)	6	55
QIAN880137	Conformation	Coil (C-term)	Coil (C-terminal)	Weights for coil at the window position of 4 (Qian-Sejnowski, 1988)	6	55
QIAN880138	Conformation	Coil (C-term)	Coil (C-terminal)	Weights for coil at the window position of 5 (Qian-Sejnowski, 1988)	6	55
ROBB760107	Conformation	Coil (C-term)	Coil (C-terminal)	Information measure for extended without H-bond (Robson-Suzuki, 1976)	6	55
QIAN880127	Conformation	Coil (N-term)	Coil (N-terminal)	Weights for coil at the window position of -6 (Qian-Sejnowski, 1988)	6	55
QIAN880128	Conformation	Coil (N-term)	Coil (N-terminal)	Weights for coil at the window position of -5 (Qian-Sejnowski, 1988)	6	55
GEOR030105	Conformation	Coil (N-term)	Linker (small)	Linker propensity from small dataset (linker length is less than six residues) (George-Heringa, 2003)	6	55
GEOR030101	Conformation	Linker (>14 AA)	Linker	Linker propensity from all dataset (George-Heringa, 2003)	5	35
GEOR030102	Conformation	Linker (>14 AA)	Linker (1)	Linker propensity from 1-linker dataset (George-Heringa, 2003)	5	35
GEOR030107	Conformation	Linker (>14 AA)	Linker (Long)	Linker propensity from long dataset (linker length is greater than 14 residues) (George-Heringa, 2003)	5	35
GEOR030109	Conformation	Linker (>14 AA)	Linker (Non-Helical)	Linker propensity from non-helical (annotated by DSSP) dataset (George-Heringa, 2003)	5	35
FINA910102	Conformation	Linker (>14 AA)	α-helix (C-term, out)	Helix initiation parameter at position i,i+1,i+2 (Finkelstein et al., 1991)	5	35
ONEK900102	Conformation	Linker (>14 AA)	α-helix (C-term, out)	Helix formation parameters (delta delta G) (O'Neil-DeGrado, 1990)	5	35
GEOR030103	Conformation	Linker (6-14 AA)	Linker (2)	Linker propensity from 2-linker dataset (George-Heringa, 2003)	5	35
GEOR030104	Conformation	Linker (6-14 AA)	Linker (3)	Linker propensity from 3-linker dataset (George-Heringa, 2003)	5	35
GEOR030106	Conformation	Linker (6-14 AA)	Linker (medium)	Linker propensity from medium dataset (linker length is between six and 14 residues) (George-Heringa, 2003)	5	35
AURR980118	Conformation	Linker (6-14 AA)	α-helix (C-terminal, outside)	"Normalized positional residue frequency at helix termini C"" (Aurora-Rose, 1998)"	5	35
AURR980101	Conformation	Linker (6-14 AA)	α-helix (N-terminal, outside)	Normalized positional residue frequency at helix termini N4'(Aurora-Rose, 1998)	5	35
AURR980102	Conformation	Linker (6-14 AA)	α-helix (N-terminal, outside)	"Normalized positional residue frequency at helix termini N""' (Aurora-Rose, 1998)"	5	35
QIAN880139	Conformation	Unclassified (Conformation)	Coil (C-terminal)	Weights for coil at the window position of 6 (Qian-Sejnowski, 1988)	10	
QIAN880129	Conformation	Unclassified (Conformation)	Coil (N-terminal)	Weights for coil at the window position of -4 (Qian-Sejnowski, 1988)	10	
ISOY800107	Conformation	Unclassified (Conformation)	Double bend	Normalized relative frequency of double bend (Isogai et al., 1980)	10	
VASM830103	Conformation	Unclassified (Conformation)	Extended	Relative population of conformational state E (Vasquez et al., 1983)	10	
RACS820104	Conformation	Unclassified (Conformation)	Extended (left-handed)	Average relative fractional occurrence in EL(i) (Rackovsky-Scheraga, 1982)	10	
RACS820112	Conformation	Unclassified (Conformation)	Extended (right-handed)	Average relative fractional occurrence in ER(i-1) (Rackovsky-Scheraga, 1982)	10	
VASM830101	Conformation	Unclassified (Conformation)	α-helix	Relative population of conformational state A (Vasquez et al., 1983)	10	
RICJ880114	Conformation	Unclassified (Conformation)	α-helix (C-terminal, inside)	Relative preference value at C1 (Richardson-Richardson, 1988)	10	
AURR980120	Conformation	Unclassified (Conformation)	α-helix (C-terminal, outside)	Normalized positional residue frequency at helix termini C4' (Aurora-Rose, 1998)	10	
RICJ880117	Conformation	Unclassified (Conformation)	α-helix (C-terminal, outside)	"Relative preference value at C"" (Richardson-Richardson, 1988)"	10	
RACS820103	Conformation	Unclassified (Conformation)	α-helix (left-handed)	Average relative fractional occurrence in AL(i) (Rackovsky-Scheraga, 1982)	10	
RICJ880108	Conformation	Unclassified (Conformation)	α-helix (middle)	Relative preference value at N5 (Richardson-Richardson, 1988)	10	
RICJ880104	Conformation	Unclassified (Conformation)	α-helix (N-terminal, inside)	Relative preference value at N1 (Richardson-Richardson, 1988)	10	
QIAN880101	Conformation	Unclassified (Conformation)	α-helix (N-terminal)	Weights for alpha-helix at the window position of -6 (Qian-Sejnowski, 1988)	10	
GEIM800103	Conformation	Unclassified (Conformation)	α-helix (β-proteins)	Alpha-helix indices for beta-proteins (Geisow-Roberts, 1980)	10	
CHAM830102	Conformation	Unclassified (Conformation)	β-sheet	A parameter defined from the residuals obtained from the best correlation of the Chou-Fasman parameter of beta-sheet (Charton-Charton, 1983)	10	
QIAN880117	Conformation	Unclassified (Conformation)	β-sheet	Weights for beta-sheet at the window position of -3 (Qian-Sejnowski, 1988)	10	
QIAN880123	Conformation	Unclassified (Conformation)	β-sheet (C-terminal)	Weights for beta-sheet at the window position of 3 (Qian-Sejnowski, 1988)	10	
OOBM850102	Conformation	Unclassified (Conformation)	β-turn (optimized propensity)	Optimized propensity to form reverse turn (Oobatake et al., 1985)	10	
AURR980109	Conformation	α-helix	α-helix	Normalized positional residue frequency at helix termini N4 (Aurora-Rose, 1998)	1	5
AURR980111	Conformation	α-helix	α-helix	Normalized positional residue frequency at helix termini C5 (Aurora-Rose, 1998)	1	5
AURR980112	Conformation	α-helix	α-helix	Normalized positional residue frequency at helix termini C4 (Aurora-Rose, 1998)	1	5
AURR980113	Conformation	α-helix	α-helix	Normalized positional residue frequency at helix termini C3 (Aurora-Rose, 1998)	1	5
BEGF750101	Conformation	α-helix	α-helix	Conformational parameter of inner helix (Beghin-Dirkx, 1975)	1	5
BURA740101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix (Burgess et al., 1974)	1	5
CHOP780201	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix (Chou-Fasman, 1978b)	1	5
GEIM800101	Conformation	α-helix	α-helix	Alpha-helix indices (Geisow-Roberts, 1980)	1	5
GEIM800104	Conformation	α-helix	α-helix	Alpha-helix indices for alpha/beta-proteins (Geisow-Roberts, 1980)	1	5
ISOY800101	Conformation	α-helix	α-helix	Normalized relative frequency of alpha-helix (Isogai et al., 1980)	1	5
KANM800101	Conformation	α-helix	α-helix	Average relative probability of helix (Kanehisa-Tsong, 1980)	1	5
KANM800103	Conformation	α-helix	α-helix	Average relative probability of inner helix (Kanehisa-Tsong, 1980)	1	5
LEVM780101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix, with weights (Levitt, 1978)	1	5
LEVM780104	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix, unweighted (Levitt, 1978)	1	5
MAXF760101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix (Maxfield-Scheraga, 1976)	1	5
NAGK730101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix (Nagano, 1973)	1	5
PALJ810101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix from LG (Palau et al., 1981)	1	5
PALJ810102	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix from CF (Palau et al., 1981)	1	5
PALJ810109	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix in alpha/beta class (Palau et al., 1981)	1	5
PRAM900102	Conformation	α-helix	α-helix	Relative frequency in alpha-helix (Prabhakaran, 1990)	1	5
QIAN880105	Conformation	α-helix	α-helix	Weights for alpha-helix at the window position of -2 (Qian-Sejnowski, 1988)	1	5
QIAN880109	Conformation	α-helix	α-helix	Weights for alpha-helix at the window position of 2 (Qian-Sejnowski, 1988)	1	5
QIAN880110	Conformation	α-helix	α-helix	Weights for alpha-helix at the window position of 3 (Qian-Sejnowski, 1988)	1	5
RACS820108	Conformation	α-helix	α-helix	Average relative fractional occurrence in AR(i-1) (Rackovsky-Scheraga, 1982)	1	5
RICJ880112	Conformation	α-helix	α-helix	Relative preference value at C3 (Richardson-Richardson, 1988)	1	5
ROBB760101	Conformation	α-helix	α-helix	Information measure for alpha-helix (Robson-Suzuki, 1976)	1	5
TANS770101	Conformation	α-helix	α-helix	Normalized frequency of alpha-helix (Tanaka-Scheraga, 1977)	1	5
AURR980110	Conformation	α-helix	α-helix (middle)	Normalized positional residue frequency at helix termini N5 (Aurora-Rose, 1998)	1	5
CRAJ730101	Conformation	α-helix	α-helix (middle)	Normalized frequency of middle helix (Crawford et al., 1973)	1	5
QIAN880106	Conformation	α-helix	α-helix (middle)	Weights for alpha-helix at the window position of -1 (Qian-Sejnowski, 1988)	1	5
QIAN880107	Conformation	α-helix	α-helix (middle)	Weights for alpha-helix at the window position of 0 (Qian-Sejnowski, 1988)	1	5
QIAN880108	Conformation	α-helix	α-helix (middle)	Weights for alpha-helix at the window position of 1 (Qian-Sejnowski, 1988)	1	5
RICJ880109	Conformation	α-helix	α-helix (middle)	Relative preference value at Mid (Richardson-Richardson, 1988)	1	5
ROBB760103	Conformation	α-helix	α-helix (middle)	Information measure for middle helix (Robson-Suzuki, 1976)	1	5
AURR980108	Conformation	α-helix	α-helix (N-terminal, inside)	Normalized positional residue frequency at helix termini N3 (Aurora-Rose, 1998)	1	5
QIAN880104	Conformation	α-helix	α-helix (N-terminal, inside)	Weights for alpha-helix at the window position of -3 (Qian-Sejnowski, 1988)	1	5
AURR980116	Conformation	α-helix (C-cap)	α-helix (C-terminal, C-cap)	Normalized positional residue frequency at helix termini Cc (Aurora-Rose, 1998)	4	35
FINA910103	Conformation	α-helix (C-cap)	α-helix (C-terminal, inside)	Helix termination parameter at position j-2,j-1,j (Finkelstein et al., 1991)	4	35
RICJ880113	Conformation	α-helix (C-cap)	α-helix (C-terminal, inside)	Relative preference value at C2 (Richardson-Richardson, 1988)	4	35
