top_explain	min_th	just_aaindex	scale_ids
15	0.4	True	GUYH850104;BIOV880101;CHOC760103;CHOC750101;JOND920101;NAKH920101;CHAM830101;GEIM800110;CHOP780201;ISOY800101;LEVM780104;LEVM780102;LEVM780105;ROBB760106;HUTJ700102;RADA880104;CIDH920105;NADH010102;GUOD860101;RADA880102;SIMZ760101;VINM940101;KRIW790101
15	0.5	True	GUYH850104;BIOV880101;CHOC760103;CHOC750101;JOND920101;NAKH920101;CHAM830101;GEIM800110;CHOP780201;ISOY800101;LEVM780104;LEVM780102;LEVM780105;ROBB760106;HUTJ700102;RADA880104;CIDH920105;NADH010102;GUOD860101;RADA880102;SIMZ760101;VINM940101;KRIW790101
15	0.6	True	GUYH850104;BIOV880101;BIOV880102;CHOC760103;CHOC750101;JOND920101;NAKH920101;CHAM830101;GEIM800110;CHOP780201;ISOY800101;LEVM780104;LEVM780102;LEVM780105;ROBB760106;HUTJ700103;RADA880104;CIDH920105;GUOD860101;SIMZ760101;WILM950103;VINM940101;KRIW790101
15	0.7	True	GUYH850104;BIOV880101;CHOC760103;ROSG850101;CHOC750101;DAYM780101;CEDJ970102;GEIM800111;QIAN880133;AURR980111;CHOP780201;KANM800103;LEVM780101;QIAN880108;CHOP780202;LEVM780102;LEVM780105;FAUJ880112;HUTJ700103;YUTK870101;RADA880104;CIDH920104;GUOD860101;SIMZ760101;CHAM820102;VINM940102;VINM940103
15	0.8	True	GUYH850104;WERD780101;JANJ780102;CHOC750101;DAYM780101;CEDJ970102;GEIM800111;QIAN880130;CHOP780207;CHOP780201;KANM800103;LEVM780101;RICJ880112;AURR980110;QIAN880108;CHOP780202;LEVM780102;LEVM780105;KLEP840101;FAUJ880112;HUTJ700102;YUTK870101;YUTK870103;RADA880107;CIDH920104;WILM950101;MEEJ800101;NOZY710101;SIMZ760101;CHAM820102;WILM950103;VINM940102;VINM940103;KRIW790101
15	0.9	True	JANJ780101;VHEG790101;BIOV880101;ARGP820103;CHOC760103;CHOC760101;TSAJ990101;JUKT750101;CEDJ970102;NAKH920101;FUKS010110;KUMS000103;GEIM800108;NAGK730103;QIAN880130;QIAN880133;QIAN880134;CHOP780207;AURR980112;BEGF750101;CHOP780201;KANM800103;LEVM780101;RICJ880112;QIAN880106;QIAN880108;RACS820105;CHOP780209;CRAJ730102;LEVM780105;PALJ810111;QIAN880118;QIAN880120;ROBB760106;KLEP840101;CHAM830108;FAUJ880112;CHAM830107;HUTJ700102;HUTJ700103;OOBM770102;YUTK870101;YUTK870103;RADA880105;ARGP820101;CIDH920105;EISD840101;NADH010103;ZIMJ680101;GUOD860101;MEEJ810102;BROC820102;EISD860101;LAWE840101;WIMW960101;CHAM820102;WILM950103;BHAR880101;PARS000102;VINM940101;KRIW710101;KRIW790101;OOBM850105
20	0.3	False	LINS030104;LINS030114;BIOV880101;CHOC760101;CEDJ970102;CEDJ970104;ISOY800101;QIAN880108;PALJ810103;CHOP780101;LEVM780106;WOEC730101;JURD980101;TAKK010101;PTIO830102
20	0.4	False	LINS030106;LINS030109;LINS030114;GUYH850104;BIOV880101;LINS030101;CEDJ970104;KANM800101;KANM800103;QIAN880108;KANM800102;TANS770103;CHOP780101;LEVM780103;RADA880104;HOPT810101;JURD980101;GUOD860101;SIMZ760101;WILM950103;KARS160101
20	0.5	False	JANJ780101;LINS030112;LINS030109;LINS030108;BIOV880101;CHOC760103;NISK800101;LINS030101;BIGC670101;JUKT750101;CEDJ970104;CHAM830101;QIAN880134;KANM800103;PALJ810101;PALJ810102;RACS820108;CHOP780202;PALJ810104;BEGF750103;LEVM780103;RADA880104;ENGD860101;FASG890101;KOEH090101;CIDH920105;NADH010102;GUOD860101;RADA880102;SIMZ760101;WILM950103;KARS160107;VINM940101;OOBM850101
20	0.6	False	JANJ780101;LINS030112;LINS030109;LINS030108;BIOV880101;CHOC760103;NISK800101;LINS030101;BIGC670101;JUKT750101;CEDJ970104;CHAM830101;ROBB760112;KANM800103;PALJ810101;PALJ810102;CHOP780202;PALJ810104;LEVM780103;ROBB760113;RADA880104;ENGD860101;FASG890101;KOEH090101;CIDH920105;NADH010102;GUOD860101;RADA880102;SIMZ760101;WILM950103;KARS160107;VINM940101;OOBM850101
20	0.7	False	JANJ780101;LINS030112;LINS030117;LINS030101;BIGC670101;JOND920101;JUKT750101;NAKH920101;QIAN880132;ISOY800101;KANM800103;TANS770101;QIAN880107;CHOP780202;LEVM780102;ISOY800102;CHOP780211;CHOP780101;LEVM780103;TANS770110;CHAM830108;YUTK870101;RADA880104;GRAR740102;KOEH090102;PRAM900101;WOEC730101;CIDH920102;CIDH920105;KYTJ820101;NADH010103;MEEJ810102;SIMZ760101;CHAM820102;KOEH090112;KARS160107;KARS160106;VINM940101;KRIW790101;PTIO830102
